mid,focus,created,content
3710616533729729 , 1 , 2014-05-15 22:16:00 ," 真的[哼]吐槽南京南站口以么[睡觉] "
3710611655977971 , 5 , 2014-05-15 21:57:00 ," omg南京南站竟然停电出站口漆黑黑的一片刚拿下隐形眼镜的我好心塞[巨汗]南京南站停电好吃惊好吃惊@雪暮我到了你已经注意安全哈我在这里:|南京南站 "
3710611487241291 , 40 , 2014-05-15 21:56:00 ," 窝草草草草草草草！！洗到全校一半停电停水…………草草草草草草…………[拜拜][拜拜][拜拜] "
3710605267217607 , 0 , 2014-05-15 21:31:00 ," 果然又停电了，我真的服了…… "
3710605145818368 , 1 , 2014-05-15 21:31:00 ," 图书馆停电了[睡觉][睡觉][睡觉]三年了头一回碰到，好奇葩 "
3710611768753351 , 0 , 2014-05-15 21:57:00 ," [汗]我正好在看#poi#也是停电 "
3710626482059617 , 2 , 2014-05-15 22:55:00 ," 突然想起来小学的英语老师，大美女，各种有气质~~~刚百度了下她，搜到了照片。。。额，我只能说，时间是把杀猪刀[泪]怎么心里惦记好多年的美丽大方的女老师一下子就变样了呢，不！开！心！！ "
3710615086443997 , 8 , 2014-05-15 22:10:00 ," 。。。最后的走廊灯，灭了[委屈]突然想到个好严重的问题，今天晚上木有走廊的灯光，我要肿木睡觉！！！[泪][泪]我在:|南苑路 "
3710605146319864 , 2 , 2014-05-15 21:31:00 ," 停电了[泪]还是我一个人在卫生间的时候，外面还一群人鬼喊鬼叫，差点吓哭了好嘛！！！[泪][泪]我在:|南苑路 "
3710612020789253 , 4 , 2014-05-15 21:58:00 ," 同停电... "
3710610263356643 , 0 , 2014-05-15 21:51:00 ," 今天停电外面一堆女人尖叫着冲出房间，20分钟后来电，这堆女人又尖叫着回房了。。。。这是停电查表的节奏？ "
3710619683455773 , 1 , 2014-05-15 22:28:00 ," 逛了下，夫子庙，水游城。我在:|长虹路 "
3710611483931689 , 0 , 2014-05-15 21:56:00 ," 酒店停电，前台这里一片漆黑。真是好运[衰]我在:|长虹路 "
3710604953290841 , 2 , 2014-05-15 21:30:00 ," 竟然停电了！！！！ "
3710610166843725 , 4 , 2014-05-15 21:51:00 ," 现在学校正在大规模的停电断网中，还好我有我亲爱的小手机给我提供无线用真是太机智了～ "
3710610178687674 , 4 , 2014-05-15 21:51:00 ," 我到德州了，咦？我才知道，德克萨斯州在山东～[思考] "
3710610120236011 , 0 , 2014-05-15 21:50:00 ," 南京南站大停电@南京零距离 "
3710603720137625 , 1 , 2014-05-15 21:25:00 ," 生命在于运动。 "
3710611671818168 , 7 , 2014-05-15 21:57:00 ," 学校集体停电的时刻我觉得我是灯光的富人！谢谢[钱] "
3710616235686069 , 260 , 2014-05-15 22:15:00 ," 刚才你家跳电了吗？ "
3710613500547963 , 336 , 2014-05-15 22:04:00 ," 南京南站竟然也会停电！[吃惊][汗] "
3710608589073549 , 0 , 2014-05-15 21:44:00 ," 最后一张，这孩纸是在干啥呢[偷笑][偷笑] "
3710610178965036 , 48 , 2014-05-15 21:51:00 ," 【飞云牛肉砂锅店】传说中南京最好吃的砂锅之一，名气和龙屋齐名，文昌巷每天排队最长的店之一。只有牛肉砂锅和三鲜砂锅两种，他家的汤底是牛肉汤，一大锅放在店门口；口味偏五香，粉丝很软糯，料也很足，挺丰富的，有鹌鹑蛋，牛肉，粉丝，干丝，单加牛肉鹌鹑蛋年糕等另算钱。均价10元；地点：文昌巷内 "
3710627120132388 , 26 , 2014-05-15 22:58:00 ," 眨眼绝活你也学会了 "
3710624406423080 , 23 , 2014-05-15 22:47:00 ," 我要pick… "
3710599727251777 , 8 , 2014-05-15 21:09:00 ," 我今天一眼看中的也是这个好像小圣诞树啊超可爱 "
3710618428819284 , 55 , 2014-05-15 22:23:00 ," 5.20是南大校庆日哦，还有几天哦，多么浪漫的日子阿，带着我们的南大梦，晚安啦[拜拜] "
3710609621373693 , 10 , 2014-05-15 21:48:00 ," 不要以为这是满天繁星，这是停电之后楼下的手机屏～[拜拜]我在:|童卫路 "
3710607247932021 , 1 , 2014-05-15 21:39:00 ," 论学好英语的重要性！ "
3710624842855955 , 28 , 2014-05-15 22:49:00 ," 原来是这样有一瞬间小编以为是电光人路过了[哈哈] "
3710620862300525 , 7 , 2014-05-15 22:33:00 ," 看一部开心的电影晚安万人迷 "
3710625123258594 , 2 , 2014-05-15 22:50:00 ," 好像可以制造一个银河[xkl期待] "
3710624925998933 , 21 , 2014-05-15 22:49:00 ," #南京全城跳电#【220千伏苏牵线故障，供电公司已赶赴现场。】网友@青青陌上桑连城担忧是不是都敏俊xi喝醉了，看来可以不是了。[偷笑] "
3710623743023707 , 54 , 2014-05-15 22:45:00 ," 今天其实是个充满爱意的日子——国际家庭日。相信大家都有一个最简单也是最伟大的理想，那就是：希望一家人能整整齐齐，健健康康，快快乐乐地生活在一起就很好了。有同感的就转起吧！祝大家#晚安#！[心] "
3710623114718426 , 8 , 2014-05-15 22:42:00 ," 为神马要把我们在一起的事情说出来？[委屈][委屈][委屈] "
3710606395835294 , 487 , 2014-05-15 21:36:00 ," 刚才你家跳电了吗？ "
3710619032890937 , 221 , 2014-05-15 22:26:00 ," 有时我们并不一定是在听歌，而是在听自己的心情。[泪流满面] "
3710604441067208 , 265 , 2014-05-15 21:28:00 ," 学生太牛逼，英语老师气晕在厕所。。。[偷笑] "
3710625459174210 , 173 , 2014-05-15 22:51:00 ," 【南京两大车站都停电了】今晚南京南站和南京站候车厅都发生照明停电，南京南站影响较小，因为并非周末，且晚间列车运行密度较小。不过由于南京南站全部是“刷票”进站，停电后，所有的检票设备都“歇菜”了，工作人员紧急拿出手电筒和应急照明电源，实行人工检票。http://t.cn/rvhuuvd "
3710619788048162 , 213 , 2014-05-15 22:29:00 ," 今晚9：30分左右，南京南站候车厅照明停电，停电时间约16分钟左右，停电原因是电压不稳跳闸引起停电。有两趟去往上海方向的旅客受到停电影响，目前已恢复。扬子晚报徐媛园 "
3710618378801555 , 1040 , 2014-05-15 22:23:00 ," 【南京全城跳电】今晚南京多名网友称：刚才出现了跳电的情况！@属鼠的小青年：我们家刚才突然电压弱了一下，吓死人了。@建康遗风：铁心桥街道和我们家小区停电了，更悲剧的是澡洗了一半浑身都是泡沫的时候停了。有不少网友都遇到了，栖霞区的，雨花台区的，秦淮区的，包括鼓楼区的，都有！ "
3710616310895037 , 62 , 2014-05-15 22:15:00 ," 周末又又又下雨 "
3710609335780234 , 170 , 2014-05-15 21:47:00 ," 【南京南方花园枫彩园25栋主体结构安全】据@江宁发布，今日以南京大学岩土教授李俊才为首的专家组、南京市房屋安全鉴定处得出一致意见:南方花园25号楼主体结构安全。目前,塌陷处已全部填平,工地停止施工,小区供水恢复,区委区政府将会同建设单位做好后续工作。 "
3710604319413859 , 210 , 2014-05-15 21:27:00 ," 【陕西大学生运动会开幕式女生穿比基尼表演】陕西第36届大学生运动会在西安体育学院开幕！参赛队伍来自陕西73所高校，将进行100米、1500米、5000米、10000米、4×400米接力、跳高、撑杆跳高、跳远、铅球、标枪、链球等田径项目的比赛。各体育特色社团的表演活力四射。http://t.cn/rvvdlin "
3710602050232278 , 92 , 2014-05-15 21:18:00 ," 【热辣捌壹捌】1、舌尖上的蝗虫受热捧2、你还敢耍酷折手指吗3、水电工“三点式”求婚，海龟富家女答应了4、光棍惹蚊怜，蚊子更爱叮情侣5、四川一乞丐街头留qq收徒称工资比正常人上班高6、泡菜不叫辛奇了，还叫泡菜……周一至周五，每晚8：18，扬晚君给您来八一八这一天热点图文和麻辣点评，戳大图！ "
3710620690054594 , 209 , 2014-05-15 22:32:00 ," 刚刚看到的一段话：“你特别烦的时候先保持冷静或者看一部开心的电影或者喝一大杯水不要试图跟朋友聊天朋友是跟你分享快乐的人而不是分享你痛苦的人不要做一个唠唠叨叨的抱怨者从现在起要学会自己去化解去承受”送给和我一样最近有点烦闷的人[嘻嘻] "
